"product","brand","round","lab","test_date","label_claim","measured","creatinine_flagged","result","nsf_certified_for_sport_gummy_listings","nsf_checked_on","source_url","notes"
"Bear Balance creatine gummies","Bear Balance","Round 1","NOW Foods (HPLC)","2024","","","no","Pass","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Met label claim"
"Bod creatine gummies","Bod","Round 1","NOW Foods (HPLC)","2024","","","no","Pass","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Met label claim"
"Effective Nutra creatine gummies","Effective Nutra","Round 1","NOW Foods (HPLC)","2024","","","no","Pass","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Met label claim"
"Iron Labs Nutrition creatine gummies","Iron Labs Nutrition","Round 1","NOW Foods (HPLC)","2024","","","no","Pass","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Met label claim"
"Peach Perfect creatine gummies","Peach Perfect","Round 1","NOW Foods (HPLC)","2024","","","no","Pass","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Met label claim"
"Zhou creatine gummies","Zhou","Round 1","NOW Foods (HPLC)","2024","","","no","Pass","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Met label claim"
"Astro Labs creatine gummies","Astro Labs","Round 1","NOW Foods (HPLC)","2024","","","no","Fail","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Did not meet label claim"
"Beast Bites creatine gummies","Beast Bites","Round 1","NOW Foods (HPLC)","2024","","","yes","Fail","13","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Large creatinine levels detected"
"Con-Cret creatine gummies","Con-Cret","Round 1","NOW Foods (HPLC)","2024","","","yes","Fail","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Large creatinine levels detected"
"Create creatine gummies","Create","Round 1","NOW Foods (HPLC)","2024","","","yes","Fail","15","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Large creatinine levels detected; passed two later rounds"
"Greabby creatine gummies","Greabby","Round 1","NOW Foods (HPLC)","2024","","","no","Fail","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Did not meet label claim"
"Njord creatine gummies","Njord","Round 1","NOW Foods (HPLC)","2024","","","no","Fail","0","2026-09-15","https://www.nowfoods.com/about-now/press-room/press-releases/now-testing-program-identifies-creatine-gummies-failings","Did not meet label claim"
"Force Factor creatine gummies","Force Factor","Round 2","SuppCo (ISO 17025)","2025","5 g","6.3 g","yes","Pass","6","2026-09-15","https://supp.co/articles/suppco-tested-creatine-testing-results-gummies-failed-lab-analysis","Measurable creatinine present despite passing"
"Create creatine gummies (watermelon)","Create","Round 2","SuppCo (ISO 17025)","2025","4.5 g","4.59 g","yes","Pass","15","2026-09-15","https://supp.co/articles/suppco-tested-creatine-testing-results-gummies-failed-lab-analysis","Measurable creatinine present despite passing"
"DivinusLabs creatine gummies","DivinusLabs","Round 2","SuppCo (ISO 17025)","2025","5 g","trace (~800 gummies for 5 g)","no","Fail","0","2026-09-15","https://supp.co/articles/suppco-tested-creatine-testing-results-gummies-failed-lab-analysis","Trace creatine only"
"Happyummmm creatine gummies","Happyummmm","Round 2","SuppCo (ISO 17025)","2025","5 g","0.005 g (~2,000 gummies for 5 g)","no","Fail","0","2026-09-15","https://supp.co/articles/suppco-tested-creatine-testing-results-gummies-failed-lab-analysis","Trace creatine only"
"EcoWise creatine gummies","EcoWise","Round 2","SuppCo (ISO 17025)","2025","5 g","none detected","no","Fail","0","2026-09-15","https://supp.co/articles/suppco-tested-creatine-testing-results-gummies-failed-lab-analysis","Failed two separate lots; brand advertised its own certified testing"
"Vidabotan creatine gummies","Vidabotan","Round 2","SuppCo (ISO 17025)","2025","5 g","none detected","no","Fail","0","2026-09-15","https://supp.co/articles/suppco-tested-creatine-testing-results-gummies-failed-lab-analysis","None detected"
"Creatine powders (5 products, pooled)","Various","Round 2","SuppCo (ISO 17025)","2025","5 g","98-101% of claim","no","Pass","","","https://supp.co/articles/suppco-tested-creatine-testing-results-gummies-failed-lab-analysis","All five powders in the same round passed"
"WellBoost creatine gummies","WellBoost","Round 3","James Smith / Eurofins","2025-07","5 g","5.55 g","unknown","Pass","0","2026-09-15","https://www.nutraceuticalsworld.com/exclusives/creatine-gummies-boom-market-growth-meets-stability-quality-challenges/","Slight overage"
"Myvitamins creatine gummies","Myvitamins","Round 3","James Smith / Eurofins","2025-07","","within range of claim","unknown","Pass","0","2026-09-15","https://www.nutraceuticalsworld.com/exclusives/creatine-gummies-boom-market-growth-meets-stability-quality-challenges/","Per-product grams not published"
"Known Nutrition creatine gummies","Known Nutrition","Round 3","James Smith / Eurofins","2025-07","","within range of claim","unknown","Pass","0","2026-09-15","https://www.nutraceuticalsworld.com/exclusives/creatine-gummies-boom-market-growth-meets-stability-quality-challenges/","Per-product grams not published"
"Create creatine gummies","Create","Round 3","James Smith / Eurofins","2025-07","","within range of claim","unknown","Pass","15","2026-09-15","https://www.nutraceuticalsworld.com/exclusives/creatine-gummies-boom-market-growth-meets-stability-quality-challenges/","Second consecutive pass"
"Ovrload creatine gummies","Ovrload","Round 3","James Smith / Eurofins","2025-07","","borderline undetectable","unknown","Fail","0","2026-09-15","https://www.nutraceuticalsworld.com/exclusives/creatine-gummies-boom-market-growth-meets-stability-quality-challenges/",""
"Gains Nutrition creatine gummies","Gains Nutrition","Round 3","James Smith / Eurofins","2025-07","","borderline undetectable","unknown","Fail","0","2026-09-15","https://www.nutraceuticalsworld.com/exclusives/creatine-gummies-boom-market-growth-meets-stability-quality-challenges/",""
"Unique Physique creatine gummies","Unique Physique","Round 3","James Smith / Eurofins","2025-07","","borderline undetectable","unknown","Fail","0","2026-09-15","https://www.nutraceuticalsworld.com/exclusives/creatine-gummies-boom-market-growth-meets-stability-quality-challenges/",""
"Supplmnt creatine gummies","Supplmnt","Round 3","James Smith / Eurofins","2025-07","","borderline undetectable","unknown","Fail","0","2026-09-15","https://www.nutraceuticalsworld.com/exclusives/creatine-gummies-boom-market-growth-meets-stability-quality-challenges/",""
"Push creatine gummies","Push","Round 3","James Smith / Eurofins","2025-07","5 g","about 0.1 g","unknown","Fail","0","2026-09-15","https://www.nutraceuticalsworld.com/exclusives/creatine-gummies-boom-market-growth-meets-stability-quality-challenges/",""
